AC_YEAR,STATCD,DISTCD,STATNAME,DISTNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,P_URB_POP,POPULATION_0_6,GROWTHRATE,SEXRATIO,P_SC_POP,P_ST_POP,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM,TOT_6_10_15,TOT_11_13_15,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCH10
2015-16,1,101,JAMMU & KASHMIR,KUPWARA,1,13,391,104,875564,11.33,197001.9,34.62,843,0.12,8.08,66.92,54.79,77.1,2379,135672,72701,1107,818,2,14,2,84,49,0,2076
2015-16,1,102,JAMMU & KASHMIR,BARAMULA,1,18,678,144,1015503,17.19,161871.18,20.34,873,0.15,3.74,66.93,55.01,77.35,4243,117874,70952,1215,825,9,11,5,176,69,0,2310
2015-16,1,103,JAMMU & KASHMIR,SRINAGAR,1,8,94,65,1269751,98.73,155798.45,23.56,879,0.09,0.72,71.21,63.47,77.95,1979,113560,62397,258,417,36,2,0,263,9,0,985
2015-16,1,104,JAMMU & KASHMIR,BADGAM,1,13,523,104,735753,11.74,150755.79,21.18,883,0.05,3.17,57.98,46.6,68.56,1361,118477,58838,755,537,10,10,1,98,57,0,1468
2015-16,1,105,JAMMU & KASHMIR,PULWAMA,1,8,359,64,570060,13.8,97651.28,29.18,913,0.07,4.03,65,53.81,75.41,1086,64493,30166,532,339,4,14,2,94,43,0,1028
2015-16,1,106,JAMMU & KASHMIR,ANANTNAG,1,12,523,96,1070144,26.04,206323.76,37.48,937,0.17,10.75,64.32,54.15,74.13,3574,150600,78343,779,869,10,14,5,160,48,0,1885
2015-16,37,107,LADAKH,LEH (LADAKH),1,6,110,49,147104,42.96,11812.45,25.48,583,0.37,71.81,80.48,64.52,89.39,45110,9066,5260,176,145,3,3,2,46,0,0,375
2015-16,37,108,LADAKH,KARGIL,1,7,134,54,143388,8.89,20404.11,20.18,775,0.01,86.89,74.49,58.05,86.73,14036,15468,8377,229,289,6,6,1,27,28,0,586
2015-16,1,109,JAMMU & KASHMIR,DODA,1,10,388,80,409576,7.95,71020.48,27.89,922,13.03,9.57,65.97,50.34,80.36,8912,52488,28512,756,533,18,5,9,130,8,0,1459
2015-16,1,110,JAMMU & KASHMIR,UDHAMPUR,1,11,361,86,555357,19.72,82637.12,20.86,863,24.97,10.15,69.9,58.22,79.93,2637,61091,35880,983,557,36,5,6,155,3,0,1745
2015-16,1,111,JAMMU & KASHMIR,PUNCH,1,11,187,95,476820,8.1,84111.05,27.97,890,0.12,36.93,68.69,54.8,81.04,1674,64075,33597,1037,530,10,6,6,100,4,0,1693
2015-16,1,112,JAMMU & KASHMIR,RAJAURI,1,15,390,120,619266,7.09,118527.51,28.14,863,7.5,36.24,68.54,57.2,78.38,2630,81895,43716,1112,634,39,6,11,161,4,0,1967
2015-16,1,113,JAMMU & KASHMIR,JAMMU,1,14,861,124,1526406,49.65,159814.71,12.48,871,24.71,4.52,83.98,77.41,89.77,2342,121628,76166,1078,690,173,1,14,444,8,0,2408
2015-16,1,114,JAMMU & KASHMIR,KATHUA,1,12,495,98,615711,14.38,80165.57,20.38,877,22.91,8.65,73.5,64.56,81.4,2502,61407,37816,989,501,66,4,9,185,4,0,1758
2015-16,1,115,JAMMU & KASHMIR,SHOPIAN,1,4,253,32,265960,5.62,40266.34,25.85,951,0.02,8.2,62.49,52.77,71.86,312,28786,17229,349,209,3,4,2,66,13,0,646
2015-16,1,116,JAMMU & KASHMIR,BANDIPORA,1,5,205,40,385099,16.89,60306.5,26.31,911,0.1,19.22,57.82,46.24,68.41,345,46005,27160,401,379,5,8,0,39,26,0,858
2015-16,1,117,JAMMU & KASHMIR,KISHTWAR,1,7,163,57,231037,6.42,39114.56,21.06,917,6.2,16.54,58.54,44.13,71.75,1644,29055,16451,470,324,3,5,4,65,3,0,874
2015-16,1,118,JAMMU & KASHMIR,RAMBAN,1,6,139,48,283313,4.16,54736.07,31.81,901,4.91,14.02,56.9,40.04,71.97,1329,41326,21287,554,279,3,4,4,79,1,0,924
2015-16,1,119,JAMMU & KASHMIR,GANDERBAL,1,4,148,32,297003,15.76,50549.91,36.3,869,0.04,20.53,59.99,47.62,70.74,259,37151,21439,372,214,3,4,2,68,12,0,675
2015-16,1,120,JAMMU & KASHMIR,KULGAM,1,6,282,48,422786,18.77,70309.31,7.3,951,0.01,6.25,60.35,49.74,70.58,410,48981,26493,424,450,2,5,1,64,24,0,970
2015-16,1,121,JAMMU & KASHMIR,REASI,1,6,261,53,314714,8.49,55798.79,27.06,891,12,28.08,59.42,47.55,69.93,1719,40695,22639,711,389,10,2,6,83,0,0,1201
2015-16,1,122,JAMMU & KASHMIR,SAMBA,1,5,318,35,318611,16.83,38010.29,16.9,886,28.8,5.51,82.48,74.39,89.76,904,27998,17533,317,225,35,0,3,106,1,0,687
2015-16,2,201,HIMACHAL PRADESH,CHAMBA,1,15,1150,266,518844,6.98,69421.33,12.58,989,21.52,26.1,73.19,62.14,84.19,6522,51872,32067,1222,47,19,260,125,20,80,0,1773
2015-16,2,202,HIMACHAL PRADESH,KANGRA,1,19,1785,358,1507223,5.73,160820.69,12.56,1013,21.15,5.6,86.49,80.62,92.55,5739,115686,75483,1806,167,142,324,309,198,183,0,3129
2015-16,2,203,HIMACHAL PRADESH,LAHUL & SPITI,1,4,168,53,31528,,2995.16,-5.1,916,7.08,81.44,77.24,66.5,86.97,13841,2385,1488,201,2,1,35,26,3,10,0,278
2015-16,2,204,HIMACHAL PRADESH,KULLU,1,6,193,131,437474,9.43,50047.03,14.65,950,28.01,3.84,80.14,71.01,88.8,5503,37567,22966,786,73,18,129,78,51,50,0,1185
2015-16,2,205,HIMACHAL PRADESH,MANDI,1,20,1804,380,999518,6.27,109946.98,10.89,1012,29.38,1.28,82.81,74.33,91.51,3950,81423,52391,1814,108,117,350,264,80,115,0,2848
2015-16,2,206,HIMACHAL PRADESH,HAMIRPUR (H.P.),1,6,551,105,454293,6.91,47700.77,10.08,1096,24.03,0.67,89.01,83.44,95.28,1118,34712,22663,534,60,52,120,96,62,64,0,988
2015-16,2,207,HIMACHAL PRADESH,UNA,1,6,394,102,521057,8.62,58202.07,16.24,977,22.16,1.65,87.23,81.67,92.75,1540,42408,27408,519,42,48,95,122,31,49,0,906
2015-16,2,208,HIMACHAL PRADESH,BILASPUR (H.P.),1,5,519,118,382056,6.58,41605.9,12.08,981,25.92,2.8,85.67,78.9,92.39,1167,29136,18326,643,57,31,108,98,41,47,0,1025
2015-16,2,209,HIMACHAL PRADESH,SOLAN,1,7,983,149,576670,17.7,66374.72,15.21,884,28.35,4.42,85.02,78.02,91.19,1936,48350,30511,833,63,56,148,107,40,58,0,1305
2015-16,2,210,HIMACHAL PRADESH,SIRMAUR,1,13,718,205,530164,10.8,67967.02,15.61,915,30.34,2.13,79.98,72.55,86.76,2825,50339,31434,1055,53,21,194,130,49,85,0,1587
2015-16,2,211,HIMACHAL PRADESH,SHIMLA,1,20,1639,321,813384,24.77,80769.03,12.58,916,26.51,1.08,84.55,77.8,90.73,5131,62009,39700,1713,118,51,333,246,102,124,0,2687
2015-16,2,212,HIMACHAL PRADESH,KINNAUR,1,3,216,55,84298,,7983.02,7.61,818,17.53,57.95,80.77,71.34,88.37,6401,6260,3826,201,8,9,36,33,7,19,0,313
2015-16,3,301,PUNJAB,GURDASPUR,1,11,1107,166,2299026,28.5,240937.92,9.3,895,25.26,0,81.06,75.73,85.9,3551,183543,119959,1206,170,142,235,109,193,106,0,2161
2015-16,3,302,PUNJAB,AMRITSAR,1,9,816,125,2490891,55.17,266525.34,15.48,884,30.95,0,77.2,72.75,81.2,2683,205882,128455,1026,328,200,207,108,256,126,0,2251
2015-16,3,303,PUNJAB,KAPURTHALA,1,5,539,68,817668,34.9,82666.23,8.37,912,33.95,0,80.18,75.36,84.6,1633,62529,41629,572,56,89,133,55,92,76,0,1073
2015-16,3,304,PUNJAB,JALANDHAR,1,11,982,156,2181753,53.18,213375.44,11.16,913,38.95,0,82.4,78.31,86.1,2624,164181,107352,1119,231,174,178,163,234,129,0,2228
2015-16,3,305,PUNJAB,HOSHIARPUR,1,10,1266,175,1582793,21.15,162394.56,6.85,962,35.14,0,85.43,80.78,89.9,3386,121442,80838,1322,139,116,235,134,194,146,0,2286
2015-16,3,306,PUNJAB,NAWANSHAHR,1,5,448,64,614362,20.43,60514.66,4.58,954,42.51,0,80.33,74.28,86.2,1282,45151,29818,438,41,55,111,53,64,60,0,822
2015-16,3,307,PUNJAB,RUPNAGAR,1,5,529,60,683349,12.63,69564.93,8.67,913,26.42,0,83.28,77.17,88.9,1356,52150,33919,581,51,55,169,51,47,65,0,1019
2015-16,3,308,PUNJAB,FATEHGARH SAHIB,1,5,459,54,599814,30.87,60761.16,11.39,871,32.07,0,80.33,75.53,84.5,1180,45474,29084,469,34,60,137,41,48,44,0,833
2015-16,3,309,PUNJAB,LUDHIANA,1,12,1044,143,3487882,59.14,363088.52,15,869,26.39,0,82.54,78.16,86.3,3578,280799,178143,1194,350,412,200,183,452,170,0,2961
2015-16,3,310,PUNJAB,MOGA,1,5,332,46,992289,22.55,102602.68,10.9,893,36.5,0,71.59,67.41,75.3,2242,77168,51298,381,63,103,84,78,70,78,0,857
2015-16,3,311,PUNJAB,FIROZPUR,1,6,666,79,2026831,27.25,241395.57,16.08,893,42.17,0,69.85,62.24,76.7,5305,181175,112831,655,60,103,109,47,74,70,0,1118
2015-16,3,312,PUNJAB,MUKTSAR,1,4,300,38,902702,27.99,102005.33,16.1,895,42.31,0,66.79,60.03,72.9,2593,75085,46547,376,55,77,82,79,50,64,0,783
2015-16,3,313,PUNJAB,FARIDKOT,1,2,234,30,618008,35.2,66683.06,12.18,889,38.92,0,70.65,64.82,75.9,1458,50013,31824,275,32,52,77,34,43,47,0,560
2015-16,3,314,PUNJAB,BATHINDA,1,8,394,45,1388859,35.99,145413.54,17.37,865,32.44,0,69.57,62.92,75.3,3353,109398,68052,439,103,108,88,106,92,83,0,1019
2015-16,3,315,PUNJAB,MANSA,1,5,288,46,768808,21.26,81493.65,11.62,880,33.63,0,62.78,56.41,68.4,2198,61210,39905,309,43,67,69,58,62,69,0,677
2015-16,3,316,PUNJAB,SANGRUR,1,10,707,97,1654408,40.27,175036.37,12.3,883,27.89,0,68.88,62.86,74.2,3625,131199,83592,746,114,177,153,108,156,106,0,1560
2015-16,3,317,PUNJAB,PATIALA,1,8,995,124,1892282,53.64,204934.14,19.4,888,24.55,0,76.26,70.47,81.4,3325,154215,95645,1054,163,220,187,89,224,98,0,2035
2015-16,3,318,PUNJAB,MOHALI,1,3,479,63,986147,26.02,109265.09,32.02,878,21.74,0,84.87,80.01,89.2,1094,83467,51394,482,128,101,111,39,110,63,0,1034
2015-16,3,319,PUNJAB,TARAN TARAN,1,8,512,60,1120070,31.24,129816.11,19.28,898,33.71,0,69.43,62.88,75.4,2414,100430,64205,577,125,91,99,67,94,111,0,1164
2015-16,3,320,PUNJAB,BARNALA,1,3,197,21,596294,31.97,62968.65,13.16,876,32.24,0,68.9,64.14,73.1,1482,47135,30839,200,43,61,26,41,49,50,0,470
2015-16,3,321,PUNJAB,Fazilka,1,5,510,61,,,,,,,,,,,0,,,543,152,70,94,66,65,73,0,1063
2015-16,3,322,PUNJAB,PATHANKOT,1,6,393,59,,,,,,,,,,,0,,,407,101,60,80,45,74,35,0,802
2015-16,4,401,CHANDIGARH,CHANDIGARH,1,20,84,20,1054686,97.25,117913.89,17.1,818,18.86,0,86.43,81.38,90.54,114,87957,53614,12,29,85,0,5,70,0,0,201
2015-16,5,501,UTTARAKHAND,UTTARKASHI,1,6,662,61,329686,7.35,45002.14,11.75,959,24.41,1.06,75.98,62.23,89.26,8016,35056,22133,924,52,5,286,70,8,7,0,1352
2015-16,5,502,UTTARAKHAND,CHAMOLI,1,9,809,78,391114,15.11,50766.6,5.6,1021,20.25,3.13,83.48,73.2,94.18,8030,38145,23960,1093,71,5,244,130,9,88,0,1640
2015-16,5,503,UTTARAKHAND,RUDRAPRAYAG,1,3,537,46,236857,4.19,30222.95,4.14,1120,19.68,0.16,82.09,70.94,94.97,1984,23314,15469,672,30,5,157,84,3,35,0,986
2015-16,5,504,UTTARAKHAND,TEHRI GARHWAL,1,9,1468,115,616409,11.37,82413.88,1.93,1078,16.5,0.14,75.1,61.77,89.91,3642,62483,40518,1702,93,6,424,189,5,52,0,2471
2015-16,5,505,UTTARAKHAND,DEHRADUN,1,6,953,82,1698560,55.9,196353.54,32.48,902,13.49,6.58,85.24,79.61,90.32,3088,149859,93055,1381,319,179,356,113,45,56,0,2449
2015-16,5,506,UTTARAKHAND,GARHWAL,1,15,1735,130,686527,16.41,82108.63,-1.51,1103,17.8,0.32,82.59,73.26,93.18,5329,61427,40720,1814,120,26,333,243,5,135,0,2676
2015-16,5,507,UTTARAKHAND,PITHORAGARH,1,8,948,92,485993,14.31,62887.49,5.13,1021,24.9,4.04,82.93,72.97,93.45,7090,46685,29192,1356,111,17,264,133,11,95,0,1987
2015-16,5,508,UTTARAKHAND,BAGESHWAR,1,3,584,46,259840,3.5,34662.66,5.13,1093,27.73,0.76,80.69,69.59,93.2,2241,26538,16022,711,25,3,140,74,1,41,0,995
2015-16,5,509,UTTARAKHAND,ALMORA,1,11,1401,107,621927,10.02,77989.65,-1.73,1142,24.26,0.21,81.06,70.44,93.57,3144,58705,37674,1598,94,24,216,192,1,116,0,2241
2015-16,5,510,UTTARAKHAND,CHAMPAWAT,1,4,498,40,259315,14.79,36537.48,15.49,981,18.25,0.52,80.73,68.81,92.65,1766,27769,17871,586,32,8,108,65,5,50,0,854
2015-16,5,511,UTTARAKHAND,NAINITAL,1,8,1040,78,955128,38.94,122160.87,25.2,933,20.03,0.79,84.85,78.21,91.09,4251,90422,56401,1252,138,66,296,141,15,83,0,1991
2015-16,5,512,UTTARAKHAND,UDHAM SINGH NAGAR,1,7,683,66,1648367,35.58,223518.57,33.4,919,14.45,7.46,74.44,65.73,82.48,2542,171235,108212,1272,205,79,331,96,31,91,0,2105
2015-16,5,513,UTTARAKHAND,HARDWAR,1,6,671,54,1927029,37.77,284429.48,33.16,879,21.76,0.33,74.62,65.96,82.26,2360,214392,126624,1136,294,64,278,70,25,46,0,1913
2015-16,6,601,HARYANA,PANCHKULA,1,4,279,43,558890,54.87,65166.57,19.32,870,18.14,0,83.44,77.48,88.65,898,47718,30067,301,47,36,82,39,26,23,0,554
2015-16,6,602,HARYANA,AMBALA,1,6,431,75,1136784,44.38,123568.42,12.06,882,26.26,0,82.89,76.64,88.47,1574,91412,56693,547,91,86,139,85,57,78,0,1083
2015-16,6,603,HARYANA,YAMUNANAGAR,1,6,591,80,1214162,38.94,143149.7,16.56,877,25.26,0,78.93,71.99,85.06,1768,104733,65452,638,65,126,238,62,99,59,0,1287
2015-16,6,604,HARYANA,KURUKSHETRA,1,6,439,80,964231,28.93,115322.03,16.81,889,22.3,0,76.7,69.18,83.46,1530,83701,50768,549,71,95,185,72,59,52,0,1083
2015-16,6,605,HARYANA,KAITHAL,1,6,297,56,1072861,21.97,135180.49,13.39,880,23.04,0,70.56,60.69,79.33,2317,98610,60627,439,101,101,74,94,56,53,0,918
2015-16,6,606,HARYANA,KARNAL,1,6,468,110,1506323,30.27,194466.3,18.22,886,22.56,0,76.44,68.29,83.73,2520,138652,84191,607,184,167,124,94,88,82,0,1346
2015-16,6,607,HARYANA,PANIPAT,1,6,201,43,1202811,45.97,164785.11,24.33,861,17.11,0,77.46,68.23,85.45,1268,123965,73260,288,126,107,58,95,84,32,0,790
2015-16,6,608,HARYANA,SONIPAT,1,8,350,84,1480080,30.52,187970.16,15.71,853,18.62,0,80.83,70.88,89.4,2122,136200,83039,536,153,167,81,137,103,83,0,1260
2015-16,6,609,HARYANA,JIND,1,7,314,60,1332042,22.82,164640.39,11.95,870,21.16,0,72.73,61.58,82.49,2702,121965,77423,474,82,118,99,100,104,114,0,1091
2015-16,6,610,HARYANA,FATEHABAD,1,6,284,60,941522,19.04,118443.47,16.79,903,30.19,0,69.13,59.29,78.1,2538,87705,54276,461,89,66,91,74,59,71,0,911
2015-16,6,611,HARYANA,SIRSA,1,7,422,99,1295114,24.75,153471.01,15.98,896,29.91,0,70.35,61.16,78.64,4277,114700,71051,594,103,90,127,90,59,96,0,1159
2015-16,6,612,HARYANA,HISAR,1,9,351,130,1742815,31.73,211229.18,13.38,871,23.44,0,73.24,62.31,82.79,3983,157014,98432,587,186,146,104,138,168,154,0,1483
2015-16,6,613,HARYANA,BHIWANI,1,10,531,116,1629109,19.8,206082.29,14.32,884,20.87,0,76.74,64.8,87.39,4778,154583,94783,737,120,161,161,176,180,136,0,1671
2015-16,6,614,HARYANA,ROHTAK,1,5,152,43,1058683,42.02,125453.94,12.61,868,20.44,0,80.37,71.19,88.42,1745,93572,58150,274,68,111,36,125,96,56,0,766
2015-16,6,615,HARYANA,JHAJJAR,1,5,256,45,956907,25.39,116168.51,8.73,861,17.79,0,80.83,70.96,89.44,1834,86857,51846,357,84,125,55,131,94,48,0,894
